asin,content,date,rate,reviewer,title
B07X1NCBS8, 'bThese lamps throw surprisingly good light. An awful lot in a small package that doesn't take up too much room on the guest bedroom nightstands - but gives guests the ability to charge their phones etc. at night. Great product. ,"Reviewed in Canada on October 30, 2019",5,VALHALLALAND, 'VERY ATTRACTIVE AND PRACTICAL' 
B07X1NCBS8," 'Love this lamp. 2 USB ports are great, charged iPad fast. I put in a 40 watt bulb because I didn t want it to be a bright light, it is perfect brightness for my bedroom. Love the pull chain and the other option of side click button.'Simple assembly and looks great. Would buy again. Not too many options out there with the 2 USB ports, built in plug, side click button, size and of course price! Trust me I looked!! Great value!' ","Reviewed in Canada on January 13, 2020",5,Leigh-Anne Liddell, 'Great Lamp!' 
B07X1NCBS8, 'Our guests will appreciate the USB ports and 120Volt outlet on these lamps for charging their phones and laptops. Not to mention these lamps don t take up too much space on our small bedside tables.' ,"Reviewed in Canada on February 12, 2020",5,Bri55, 'The perfect lamp for our small guest room.' 
B07X1NCBS8," 'Very happy with this lamp, looks great and gives just the right amount of light.'Excellent product would highly recommend...' ","Reviewed in Canada on November 25, 2019",5,Lady Di, 'Fab lamp..' 
B07X1NCBS8, 'The lamps are quite decorative and the touch is really convenient and easy to use. Great value' ,"Reviewed in Canada on December 4, 2019",5,Online shopper, 'Easy to use' 
B07X1NCBS8, 'The bedroom lamps work perfectly. We were looking for lamps that had a USB & plug for our phones & diffusers.' ,"Reviewed in Canada on November 10, 2019",5,Sharon, 'Bedroom Lamps are great for charging phones & other electrical devices' 
B07X1NCBS8, 'Love the style. There is a issue with the power when using the pull chain or handy button switch. If you use the outlet then use the switch to turn off the light. Whatever you have plugged in will also shutdown.' ,"Reviewed in Canada on January 30, 2020",5,Jan Keuhl, 'Learn as you use it.' 
B07X1NCBS8, 'Im very amazed with the product... its a very value for the money... it came with nice package.. all i can say is very worth it...'And blessed that ive been chosen to have a Lucky Card...Thanks looking forward to received it...' ,"Reviewed in Canada on January 26, 2020",5,Czyrll , 'Worth it!' 
B07X1NCBS8," 'Modernized our bedroom lamp by having one with charging portals - love love love it! Light is brighter than anticipated - looks great and works very well. Great value for $$$,' ","Reviewed in Canada on January 30, 2020",5,Paula Walker, 'Great update' 
B07X1NCBS8," 'This is such a great find in amazon as I have crystal lights throughout including kitchen lights, ceiling lights and chandelier. I have it placed in my living room to enhance its decoration. It does not come with bulbs and quite easy to set it up - maximum 3/4 mins to setup both lamps. It s quite attractive and the crystals upscales the look - the crystal doesn t look cheap. One thing that I would like to point is that these are of average height little less than I expected.' ","Reviewed in Canada on November 11, 2019",4,SD, 'Very beautiful' 
B07X1NCBS8," 'bVery modern stylish looking lamp and the build quality is very good! Overall light weight lamp, it has an on off switch on the base and dual USB. It does not include AC Outlet but that's not a deal breaker thanks to the USB ports.Absolutely conviniente to have 2 USB ports to charge up your phone or tablet during the night. Better part is that the USB port on the lamp works regardless of whether the lamp is on or off.'I love the fact that they use regular bulb socket as I plan on using RGB smartlamps in it so I can have a routine set for every morning to turn on the lamp with a certain brightness porcentage.'The only thing I see could improve is the packaging. Both table lamps came in the same box. Nothing was damaged although I believe it could get damaged.' ","Reviewed in Canada on October 31, 2019",5,Beto Z, 'Amazing and conviniente table Lamp!' 
